"转债代码","转债名称","交易日期","开盘价","最高价","最低价","最新价","涨跌幅","5日涨跌幅","正股名称","正股最高价","正股最低价","正股最新价","正股涨跌幅","正股5日涨跌幅","成交量(手)","成交额(万)","年化波动率","正股年化波动率","股息率","转股价值","转股溢价率","理论转股溢价率","修正转股溢价率","纯债价值","纯债溢价率","期权价值","理论价值","理论偏离度","双低","剩余规模(亿)","剩余市值(亿)","换手率","市净率","市盈率_ttm","市销率_ttm","正股流通市值(亿)","正股总市值（亿）","资产负债率","转债市占比","上市天数","转股截止日","剩余年限","到期收益率(税前)","强赎触发比例","外部评级","三方评级","企业类型","地域","一级行业","二级行业","三级行业","转股溢价率_得分","收盘价_得分","赎回状态","总分","排名"
"123204.SZ","金丹转债","2024-05-20","129.6","131.4","128.939","129.36","-0.0060699193238570315","0.026625927650579806","金丹科技","18.76","18.09","18.22","-0.010320478001086486","0.021873247620845415","70679.3","9176.8327974","0.4375770302579168","0.4708047660293035","0.006037","120.82228116710874","0.07066344676180036","0.10260572622095886","-0.03194227945915849","96.1622952649151","0.3452257939936789","59.83965044736861","156.0019457122837","-0.2059519612885259","136.42634467618004","6.165961","7.9762871496","0.11505143464976943","2.0473","37.9282","2.2795","21.93446202","32.91534191","0.5167305930326451","0.24232733694243433","293","2029-07-12","5.1506849315068495","-0.014878372955404616","1.3","AA-","7-","民营企业","河南","食品饮料","食品","调味品","495","91","3/15 | 30","586","145"
"123107.SZ","温氏转债","2024-05-20","130.25","133.765","130.25","131.986","0.013328214971209063","0.015276923149050159","温氏股份","22.43","21.46","21.94","0.02763466042154561","0.028116213848880856","460670.3","60858.61686649999","0.10635424605407147","0.2506132996239467","0.008951","128.75586854460096","0.025087256153144777","0.07773761690465243","-0.052650360751507655","104.39827951291441","0.26425455108839113","40.7320505038596","145.130330016774","-0.09958882015345583","134.49472561531448","77.385851","102.13848930085999","0.05958441062040221","4.687","","1.5903","1194.69370666","1459.45560776","0.4455019106990155","0.06998396440274333","1126","2027-03-28","2.8575342465753426","-0.05878645653280131","1.3","AAA","6+","民营企业","广东","农林牧渔","畜牧业","养殖","516","70","0/15 | 30","586","143"
"127086.SZ","恒邦转债","2024-05-20","129","129.798","127.311","128.75","0.015859239387723045","0.019317552089272327","恒邦股份","13.85","13.11","13.7","0.05628373168851186","0.08386075985976404","183166.1","23562.7876758","0.30900438123146357","0.3152787747382178","0","119.54624781849913","0.07698905109489051","0.10728999843623968","-0.030300947341349166","99.18582495801816","0.29806855016324474","46.039779315555265","145.22560427357342","-0.12796585843552166","136.44890510948906","31.596153","40.6800469875","0.057922223352004185","1.7561","29.4538","0.2255","124.72730449999999","157.2804773","0.613301021006179","0.2586465128148489","319","2029-06-11","5.065753424657534","-0.026707553938006345","1.3","AA+","6-","地方国有企业","山东","有色金属","贵金属","黄金","489","96","0/15 | 30","585","148"
"113640.SH","苏利转债","2024-05-20","108.11","108.754","107.7","108.658","0.00693170234454632","0.001170172614961107","苏利股份","12.66","12.21","12.3","-0.013632718524458687","0.014851485237995288","9356","1014.6111","0.08846471523571216","0.34024905263912975","0.044715","64.19624217118998","0.6925912845528455","0.7439254689248254","-0.051334184371979896","102.93572950686061","0.05559071199624621","8.952826834740746","111.88855634160136","-0.02973141730568707","177.91712845528457","9.5716000368","10.400309167986142","0.009755585950494043","0.939","","1.1704","22.14025461","22.14025461","0.42570757531495","0.469746592854839","803","2028-02-15","3.745205479452055","0.026227755658892144","1.3","AA-","7","民营企业","江苏","基础化工","化肥农药","农药","150","435","0/15 | 30","585","146"
"118034.SH","晶能转债","2024-05-20","103.404","103.86","103.35","103.694","0.0028045336737456683","-0.0007612770161691262","晶科能源","7.54","7.39","7.5","0.001335113484646211","-0.045801526618554966","72220","7487.1642","0.23212153589615026","0.38692272392276705","","54.74452554744526","0.8941437333333333","1.0354658270387151","-0.14132209370538185","99.41927171537895","0.04299697846166972","9.973959940676833","109.39323165605579","-0.05496201955808222","193.10837333333333","99.99924040799999","103.69321234867151","0.007220495951870203","2.1742","10.7843","0.6326","233.14856213000002","750.38996213","0.7285445797867056","0.13818576684359668","368","2029-04-19","4.920547945205479","0.016598035219395804","1.2","AA+","7","民营企业","江西","电气设备","电源设备","太阳能","103","482","0/15 | 30","585","147"
"113631.SH","皖天转债","2024-05-20","128.724","131.181","128.724","130.682","0.012614874393664488","-0.006205417533141411","皖天然气","9.37","9.12","9.35","0.022975929978118037","-0.015789473526317876","22395","2916.5741","0.13465039930266268","0.30440307181221227","0.021398999999999998","123.67724867724867","0.056637347593582854","0.09285261520492562","-0.036215267611342764","104.84194341818773","0.24646678361104857","42.420092846162625","147.26203626435034","-0.12687314446021913","136.34573475935827","9.29623","12.148499288599998","0.024007690420963162","1.4487","12.9302","0.7616","43.98701236","44.69714486","0.4870317212328578","0.2717958680951864","893","2027-11-07","3.4712328767123286","-0.03947404987145964","1.3","AA+","6","地方国有企业","安徽","公用事业","燃气","燃气","503","81","0/15 | 30","584","149"
"123182.SZ","广联转债","2024-05-20","122","124.8","122","124.41","0.0147055225231838","0.03248240613870279","广联航空","34.26","32.22","34","0.033434650455927084","0.14362596771629677","109323.8","13567.5476771","0.17522682071056794","0.5056018169329626","0.005881999999999999","105.9190031152648","0.17457676470588224","0.17282525774631544","0.001751506959566801","88.91493925450933","0.39920244047954534","49.56300349703957","138.4779427515489","-0.1130772667112685","141.8676764705882","6.998574","8.706925913400001","0.15582477457651822","4.911","65.548","8.9357","52.783061659999994","71.99879915999999","0.6156656899193909","0.12093154351159321","400","2029-03-21","4.841095890410959","-0.0061838684286052905","1.3","A+","8+","民营企业","黑龙江","国防与装备","航空航天装备","航空装备","436","148","0/15 | 30","584","150"
"118023.SH","广大转债","2024-05-20","88.679","88.825","88.551","88.82","0.0037405779249397586","-0.003813369214979989","广大特材","13.09","12.76","12.95","0.01728201099764326","0.01648351655461111","16856","1495.1007","0.1289088689831795","0.3846034394492884","","39.15935893559117","1.268167876447876","1.7862069748133762","-0.5180390983655001","99.97610380978672","-0.11158770330770429","3.4784083145958364","103.45451212438256","-0.16476595501444002","215.6367876447876","15.49981","13.766931241999998","0.010860086926553129","0.8438","67.0438","0.7267","27.74415394","27.74415394","0.6399460383834092","0.49621016635694165","559","2028-10-12","4.402739726027397","0.07187803794644997","1.3","AA-","7-","民营企业","江苏","钢铁","钢铁","特钢","54","529","0/15 | 30","583","151"
"127061.SZ","美锦转债","2024-05-20","98.165","98.399","98.001","98.201","-0.0005089006727667655","-0.005337898060583379","美锦能源","5.99","5.9","5.93","-0.0016835016835018424","-0.014950166051142966","33448.1","3283.8959710999998","0.17144220187398804","0.37508647715179183","0","45.86233565351895","1.1412123608768971","1.4128267461317552","-0.27161438525485804","104.91871516992921","-0.06402780627888005","4.319150022442405","109.23786519237161","-0.11239055806327447","212.3222360876897","35.627276","34.986341304759996","0.009386222876220601","1.8296","","1.3045","254.77281771999998","256.54577327","0.6110674835864393","0.13637465493512085","722","2028-04-19","3.9205479452054797","0.06003858931547927","1.3","AA-","7-","民营企业","山西","化石能源","煤炭","焦炭","67","516","0/15 | 30","583","152"
"123120.SZ","隆华转债","2024-05-20","117.038","117.496","116.23","117.047","0.0029734361610966875","-0.0006915511024350174","隆华科技","6.65","6.5","6.55","-0.00455927051671734","0.049679487479944884","27765.4","3246.8532645","0.14165253332371514","0.3765616952247509","0.004524","84.84455958549222","0.37954632061068705","0.3612480670086128","0.018298253602074266","106.08340545113849","0.1033488178687032","19.390108173843693","125.47351362498219","-0.0719925638844412","155.0016320610687","7.980575","9.34102362025","0.034759073485921686","1.9233","57.9406","2.3581","50.59133815","59.233848640000005","0.4638364056270425","0.1576973948969796","1002","2027-07-29","3.1945205479452055","0.008019117641859702","1.3","AA-","","民营企业","河南","公用事业","环保","环保","311","271","0/15 | 30","582","153"
